loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),deviceID(txt),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms),label
2026-03-03T15:48:52.236-08:00,89131.89147075001,0.941375732421875,0.217041015625,-0.004058837890625,89131.87148375,-1.550189361911465,1.552414277235676,-0.2602123429868823,-0.5251156687736511,-0.3046160936355591,-0.206334576010704,0.02105623483657837,-0.003226935863494873,0.1611337661743164,XArbitraryZVertical,0.4199753055381715,0.5610166045845972,-0.5600578790835724,0.4418328676299537,0.9661720991134644,0.2572857439517975,-0.01776222512125969,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.256-08:00,89131.91145675001,1.010482788085938,0.4252471923828125,-0.071685791015625,89131.89147075001,-1.539803681824946,1.550995881620932,-0.2632570233510151,-0.4618518948554993,-0.193819597363472,-0.1334496140480042,-0.02398252487182617,-0.04318580031394958,0.01505810394883156,XArbitraryZVertical,0.4157901560077811,0.5635246551786952,-0.5587114712466771,0.4442970036045799,0.9653580784797668,0.2602267265319824,-0.01911701820790768,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.276-08:00,89131.93144375,0.9183197021484375,0.3198699951171875,-0.0619964599609375,89131.91145675001,-1.532512524505711,1.55093986128537,-0.2649186831727894,-0.1835406422615051,0.009689450263977051,-0.1093924790620804,0.04555922746658325,0.1634163558483124,-0.05252337083220482,XArbitraryZVertical,0.4132405641387895,0.5653768593013379,-0.5574608854554578,0.4458906169445924,0.9649233818054199,0.2618307769298553,-0.0191624853760004,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.296-08:00,89131.95143075001,0.96221923828125,0.076934814453125,0.04156494140625,89131.93144375,-1.529227897816768,1.55339082604294,-0.2680860880853868,-0.2356941103935242,0.1332831382751465,-0.1123468577861786,-0.04581385850906372,0.05498355627059937,-0.04521358013153076,XArbitraryZVertical,0.4120834111841626,0.5672704840289771,-0.5569122383876632,0.4452416227118406,0.9641334414482117,0.2648863792419434,-0.01678292080760002,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.316-08:00,89131.97141675001,0.8177490234375,0.3284149169921875,0.016387939453125,89131.95143075001,-1.521012134030198,1.559119699857419,-0.2717742241850272,-0.3766420185565948,0.2763811349868774,-0.1055078133940697,-0.001011192798614502,-0.1915062069892883,0.05281269550323486,XArbitraryZVertical,0.4102761968994449,0.5710074835686888,-0.5547115376473173,0.4448806920666291,0.963230311870575,0.2684409618377686,-0.01124779228121042,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.336-08:00,89131.99140375,1.147445678710938,0.191070556640625,0.003509521484375,89131.97141675001,-1.514507302280815,1.565813723758815,-0.2740044056678533,-0.3245662748813629,0.2185478955507278,-0.1748982071876526,-0.1449341177940369,0.05782628059387207,0.02118462324142456,XArbitraryZVertical,0.4096237162242954,0.5742909170016751,-0.5523840455110205,0.4441511174675377,0.9626831412315369,0.270588606595993,-0.004796707537025213,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.356-08:00,89132.01139075001,0.9387969970703125,0.27142333984375,-0.032073974609375,89131.99140375,-1.507490374317654,1.572519580641971,-0.2752555730269683,-0.2406003624200821,0.1884543895721436,-0.0440567247569561,0.1850912570953369,-0.08072233200073242,0.001851081848144531,XArbitraryZVertical,0.4090901808659808,0.5774724367324571,-0.5497309712259992,0.4438093188006432,0.9623543620109558,0.2717928886413574,0.001658382476307452,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.376-08:00,89132.03137675,0.9356231689453125,0.2249298095703125,0.0746612548828125,89132.01139075001,-1.503204261452415,1.575877055918972,-0.2773700610776237,-0.2326386719942093,0.006209065206348896,-0.05002941936254501,-0.02296954393386841,-0.002403855323791504,-0.03696060180664062,XArbitraryZVertical,0.4081622945125871,0.5795229071786795,-0.5485653778962991,0.4434329571373346,0.9617665410041809,0.2738271653652191,0.00488651730120182,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.396-08:00,89132.05136375001,1.051223754882812,0.361602783203125,-0.0335693359375,89132.03137675,-1.496635468195185,1.576000868292305,-0.2788404048865812,-0.3362371325492859,-0.1583497375249863,-0.08085748553276062,-0.02573913335800171,-0.05031120777130127,0.06965768337249756,XArbitraryZVertical,0.4058651159619516,0.5811843556224682,-0.547410235432364,0.4447924789057972,0.9613623023033142,0.2752410173416138,0.005003495141863823,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
2026-03-03T15:48:52.416-08:00,89132.07135075,0.917816162109375,0.1826629638671875,-0.024749755859375,89132.05136375001,-1.489933043064381,1.573998016276617,-0.2796530056612302,-0.3423636555671692,-0.2123553603887558,-0.0123327299952507,0.09007740020751953,0.08558061718940735,-0.03664672374725342,XArbitraryZVertical,0.4031323788333777,0.5822567614238106,-0.5465031600983007,0.4469848962755077,0.9611461758613586,0.2760221660137177,0.003077302128076553,0,0,0,-1,-1,watch,2026-03-03T15:38:39.121-08:00,58,0.9666666666666667,2026-03-03T15:14:50.513-08:00,0.04817426841822398,2
